date,waitress_id,"Avg tip by waitress","AVG total by waitress","AVG tip","AVG total"
2-May,1,4.7500,142.7475,3.9827,43.962370173102485
3-May,1,4.7500,142.7475,3.9827,43.962370173102485
1-May,2,3.5531,44.33027932960894,3.9827,43.962370173102485
2-May,2,3.5531,44.33027932960894,3.9827,43.962370173102485
3-May,2,3.5531,44.33027932960894,3.9827,43.962370173102485
1-May,3,2.8102,35.9124817518248,3.9827,43.962370173102485
3-May,3,2.8102,35.9124817518248,3.9827,43.962370173102485
1-May,4,3.8207,40.277717391304364,3.9827,43.962370173102485
2-May,4,3.8207,40.277717391304364,3.9827,43.962370173102485
3-May,4,3.8207,40.277717391304364,3.9827,43.962370173102485
3-May,6,3.9268,42.945365853658544,3.9827,43.962370173102485
2-May,7,5.2286,51.49552380952383,3.9827,43.962370173102485
3-May,7,5.2286,51.49552380952383,3.9827,43.962370173102485
2-May,8,5.4343,50.28191919191917,3.9827,43.962370173102485
3-May,8,5.4343,50.28191919191917,3.9827,43.962370173102485
2-May,9,0.0000,16.41,3.9827,43.962370173102485
